,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,detailed_observations,class_probability
16,H,2,H2,Piperdinium CP Extension Work,,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
17,A,3,A3,Piperdinium CP Extension Work,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
18,B,3,B3,Piperdinium CP Extension Work,,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
19,C,3,C3,Piperdinium CP Extension Work,,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
20,D,3,D3,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
21,E,3,E3,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
22,F,3,F3,Piperdinium CP Extension Work,95,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
23,G,3,G3,Piperdinium CP Extension Work,95,3,,,escalate_MathematicaUniformRandom_1.2,escalate,"very small needle like crystals mixed with lots of powder, yellow, translucent",
24,H,3,H3,Piperdinium CP Extension Work,95,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
25,A,4,A4,Piperdinium CP Extension Work,95,4,,,escalate_MathematicaUniformRandom_1.2,escalate,"large clump of needle crystals, yellow, translucent",
26,B,4,B4,Piperdinium CP Extension Work,95,4,,,escalate_MathematicaUniformRandom_1.2,escalate,"3-4 mm long yellow needle crystals, translucent",
27,C,4,C4,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
28,D,4,D4,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
29,E,4,E4,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
30,F,4,F4,Piperdinium CP Extension Work,95,3,,,escalate_MathematicaUniformRandom_1.2,escalate,"1 mm long yellow needle crystals, translucent",
31,G,4,G4,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
32,H,4,H4,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
33,A,5,A5,Piperdinium CP Extension Work,95,4,,,escalate_MathematicaUniformRandom_1.2,escalate,"1 cm long yellow needles, thicker than usual, translucent",
34,B,5,B5,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
35,C,5,C5,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
36,D,5,D5,Piperdinium CP Extension Work,95,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
37,E,5,E5,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
38,F,5,F5,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
39,G,5,G5,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
40,H,5,H5,Piperdinium CP Extension Work,95,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
41,A,6,A6,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
42,B,6,B6,Piperdinium CP Extension Work,95,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
43,C,6,C6,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
44,D,6,D6,Piperdinium CP Extension Work,95,3,,,escalate_MathematicaUniformRandom_1.2,escalate,"really small crystals embedded in powder, yellow, translucent",
45,E,6,E6,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
46,F,6,F6,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
47,G,6,G6,Piperdinium CP Extension Work,95,2,,,escalate_MathematicaUniformRandom_1.2,escalate,,
48,H,6,H6,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
49,A,7,A7,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
50,B,7,B7,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
51,C,7,C7,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
52,D,7,D7,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
53,E,7,E7,Piperdinium CP Extension Work,95,3,,,escalate_MathematicaUniformRandom_1.2,escalate,"super fine yellow needle structures that may or may not be crystals, translucent",
54,F,7,F7,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
55,G,7,G7,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
56,H,7,H7,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
57,A,8,A8,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
58,B,8,B8,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
59,C,8,C8,Piperdinium CP Extension Work,95,3,,,escalate_MathematicaUniformRandom_1.2,escalate,"super fine yellow needle structures that may or may not be crystals, translucent",
60,D,8,D8,Piperdinium CP Extension Work,95,1,,,escalate_MathematicaUniformRandom_1.2,escalate,,
61,E,8,E8,6571,95,3,,,escalate_ManualSpecification_1,Nick Leiby,"small, grainy crystals that are yellow and translucent",
62,F,8,F8,14240,95,2,,,escalate_ManualSpecification_1,Nick Leiby,,
63,G,8,G8,4825,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
64,H,8,H8,4527,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
65,A,9,A9,8758,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
66,B,9,B9,16949,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
67,C,9,C9,5813,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
68,D,9,D9,11170,95,3,,,escalate_ManualSpecification_1,Nick Leiby,"super fine yellow needle structures that may or may not be crystals, translucent",
69,E,9,E9,8728,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
70,F,9,F9,7787,95,4,,,escalate_ManualSpecification_1,Nick Leiby,"1 cm long thick yellow needle crystals, translucent",
71,G,9,G9,6344,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
72,H,9,H9,12741,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
73,A,10,A10,6336,95,4,,,escalate_ManualSpecification_1,Nick Leiby,"thick, short yellow needle crystals, translucent",
74,B,10,B10,2300,95,4,,,escalate_ManualSpecification_1,Nick Leiby,"long, thick yellow needle crystals, translucent",
75,C,10,C10,14868,95,2,,,escalate_ManualSpecification_1,Nick Leiby,,
76,D,10,D10,16905,95,3,,,escalate_ManualSpecification_1,Nick Leiby,"1 mm, thin yellow needle crystals, translucent",
77,E,10,E10,4415,95,4,,,escalate_ManualSpecification_1,Nick Leiby,"5 mm, thick yellow needle crystals, translucent",
78,F,10,F10,11041,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
79,G,10,G10,9581,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
80,H,10,H10,4274,95,3,,,escalate_ManualSpecification_1,Nick Leiby,"short, chunky, grainy yellow crystals, translucent",
81,A,11,A11,8046,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
82,B,11,B11,8506,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
83,C,11,C11,3198,95,2,,,escalate_ManualSpecification_1,Nick Leiby,,
84,D,11,D11,11831,95,4,,,escalate_ManualSpecification_1,Nick Leiby,"long, medium thickness yellow needle crystals, translucent",
85,E,11,E11,13511,95,3,,,escalate_ManualSpecification_1,Nick Leiby,"small, thin needle crystals, yellow, translucent",
86,F,11,F11,5732,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
87,G,11,G11,5704,95,4,,,escalate_ManualSpecification_1,Nick Leiby,"short, thick, blocky crystals, yellow, translucent",
88,H,11,H11,13596,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
89,A,12,A12,7161,95,4,,,escalate_ManualSpecification_1,Nick Leiby,"1 cm long thin yellow needle crystals, translucent",
90,B,12,B12,5540,95,4,,,escalate_ManualSpecification_1,Nick Leiby,,
91,C,12,C12,15035,95,2,,,escalate_ManualSpecification_1,Nick Leiby,,
92,D,12,D12,10299,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
93,E,12,E12,9479,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
94,F,12,F12,11231,95,4,,,escalate_ManualSpecification_1,Nick Leiby,"1 cm long thin yellow needle crystals, translucent",
95,G,12,G12,10261,95,1,,,escalate_ManualSpecification_1,Nick Leiby,,
96,H,12,H12,4320,95,3,,,escalate_ManualSpecification_1,Nick Leiby,"6-7 mm long thin yellow needle crystals, translucent",
