Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
26,C,4,C4,52270-BOGP,95,3,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
27,E,4,E4,30523-BOGP,95,3,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
28,G,4,G4,152227-BOGP,95,4,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
29,B,4,B4,14720-BOGP,95,1,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
30,D,4,D4,290-BOGP,95,1,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
31,F,4,F4,100629-BOGP,95,4,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
32,H,4,H4,39634-BOGP,95,3,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
33,A,5,A5,11052-BOGP,95,1,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
34,C,5,C5,1796-BOGP,95,1,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
35,E,5,E5,5091-BOGP,95,1,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
36,G,5,G5,129683-BOGP,95,3,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
37,B,5,B5,54998-BOGP,95,4,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
38,D,5,D5,41879-BOGP,95,3,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
39,F,5,F5,1358-BOGP,95,1,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
40,H,5,H5,902-BOGP,95,1,,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
41,A,6,A6,152158-weighted_logistic_classifier,95,4,,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
42,C,6,C6,152159-weighted_logistic_classifier,95,4,,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
43,E,6,E6,148799-weighted_logistic_classifier,95,4,,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
44,G,6,G6,152160-weighted_logistic_classifier,95,4,,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
45,B,6,B6,131198-random_forest_classification,95,4,,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
46,D,6,D6,131197-random_forest_classification,95,4,,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
47,F,6,F6,131199-random_forest_classification,95,4,,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
48,H,6,H6,127352-random_forest_classification,95,4,,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
49,A,7,A7,131815-gradient_boosted_tree,95,4,,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
50,C,7,C7,127960-gradient_boosted_tree,95,4,,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
51,E,7,E7,131814-gradient_boosted_tree,95,4,,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
52,G,7,G7,127959-gradient_boosted_tree,95,4,,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
53,B,7,B7,129431-support_vector_radial_basis_classifier,95,1,,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
54,D,7,D7,125617-support_vector_radial_basis_classifier,95,1,,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
55,F,7,F7,129388-support_vector_radial_basis_classifier,95,1,,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
56,H,7,H7,125660-support_vector_radial_basis_classifier,95,1,,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
57,A,8,A8,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
58,C,8,C8,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
59,E,8,E8,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
60,G,8,G8,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
61,B,8,B8,numpy.random draw,95,3,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
62,D,8,D8,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
63,F,8,F8,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
64,H,8,H8,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
65,A,9,A9,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
66,C,9,C9,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
67,E,9,E9,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
68,G,9,G9,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
69,B,9,B9,numpy.random draw,95,3,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
70,D,9,D9,numpy.random draw,95,3,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
71,F,9,F9,numpy.random draw,95,3,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
72,H,9,H9,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
73,A,10,A10,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
74,C,10,C10,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
75,E,10,E10,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
76,G,10,G10,numpy.random draw,95,4,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
77,B,10,B10,numpy.random draw,95,3,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
78,D,10,D10,numpy.random draw,95,4,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
79,F,10,F10,numpy.random draw,95,1,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
80,H,10,H10,numpy.random draw,95,3,,,escalation_NumpyRandom_1.0,Ian Pendleton,Random draw from the stateset,
81,A,11,A11,combinatorial fusion anomalies - Yuanqing Tang,95,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2018-07-06T15_40_16.425303+00_00_LBL_D6,FN
82,C,11,C11,combinatorial fusion anomalies - Yuanqing Tang,95,3,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2018-10-31T03_39_46.781662+00_00_LBL_D4,FN
83,E,11,E11,combinatorial fusion anomalies - Yuanqing Tang,95,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2018-11-09T01_43_18.720125+00_00_LBL_A1,FP
84,G,11,G11,combinatorial fusion anomalies - Yuanqing Tang,95,3,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2018-12-06T17_08_57.099365+00_00_LBL_A9,FN
85,B,11,B11,combinatorial fusion anomalies - Yuanqing Tang,95,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-01-09T16_00_00.000000+00_00_LBL_C1,FP
86,D,11,D11,combinatorial fusion anomalies - Yuanqing Tang,95,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-01-09T16_00_00.000000+00_00_LBL_C4,FN
87,F,11,F11,combinatorial fusion anomalies - Yuanqing Tang,95,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-01-09T16_00_00.000000+00_00_LBL_E1,FP
88,H,11,H11,combinatorial fusion anomalies - Yuanqing Tang,95,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-01-21T16_00_00.000000+00_00_LBL_E1,FP
89,A,12,A12,combinatorial fusion anomalies - Yuanqing Tang,95,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-11T22_08_10.561080+00_00_LBL_E6,FN
90,C,12,C12,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
91,E,12,E12,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
92,G,12,G12,ESCALATE quasirandom (density focused by expert guidance),95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
93,B,12,B12,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
94,D,12,D12,ESCALATE quasirandom (density focused by expert guidance),95,1,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
95,F,12,F12,ESCALATE quasirandom (density focused by expert guidance),95,4,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
96,H,12,H12,ESCALATE quasirandom (density focused by expert guidance),95,3,,,escalate_ExpertQuasiRandom_2.4,escalate_2.4,quasi random max vol 500 and 250,
