description	material_class	consumable	material_identifier__description	material_identifier_def__description	material_type__description
4-Trifluoromethyl-Phenylammonium iodide	model	TRUE	"4-Trifluoromethyl-Phenylammonium iodide|4TrifluoromethylPhenylammoniumIodide|InChI=1S/C7H6F3N.HI/c8-7(9,10)5-1-3-6(11)4-2-5;/h1-4H,11H2;1H|KOAGKPNEVYEZDU-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
chlorobenzene	model	TRUE	chlorobenzene|CBz|InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H|MVPPADPHJFYWMZ-UHFFFAOYSA-N	Chemical_Name|Abbreviation|InChI|InChIKey	solvent
Acetamidinium bromide	model	TRUE	"Acetamidinium bromide|ACBr|InChI=1S/C2H6N2.BrH/c1-2(3)4;/h1H3,(H3,3,4);1H|CWJKVUQGXKYWTR-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Benzylammonium Bromide	model	TRUE	"Benzylammonium Bromide|BnNH3Br|InChI=1S/C7H9N.BrH/c8-6-7-4-2-1-3-5-7;/h1-5H,6,8H2;1H|QJFMCHRSDOLMHA-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Benzylammonium Iodide	model	TRUE	"Benzylammonium Iodide|BenzylammoniumIodide|InChI=1S/C7H9N.HI/c8-6-7-4-2-1-3-5-7;/h1-5H,6,8H2;1H|PPCHYMCMRUGLHR-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Beta Alanine Hydroiodide	model	TRUE	"Beta Alanine Hydroiodide|betaAlanineHydroiodide|InChI=1S/C3H7NO2.HI/c4-2-1-3(5)6;/h1-2,4H2,(H,5,6);1H|XAKAQFUGWUAPJN-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Bismuth iodide	model	TRUE	Bismuth iodide|BiI3|InChI=1S/Bi.3HI/h;3*1H/q+3;;;/p-3|KOECRLKKXSXCPB-UHFFFAOYSA-K	Chemical_Name|Abbreviation|InChI|InChIKey	inorganic
Cesium iodide	model	TRUE	Cesium iodide|CsI|InChI=1S/Cs.HI/h;1H/q+1;/p-1|XQPRBTXUXXVTKB-UHFFFAOYSA-M	Chemical_Name|Abbreviation|InChI|InChIKey	inorganic
Dimethylformamide	model	TRUE	"Dimethylformamide|DMF|InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3|ZMXDDKWLCZADIW-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	solvent
"Ethane-1,2-diammonium bromide"	model	TRUE	"Ethane-1,2-diammonium bromide|EthylenediamineDihydrobromide|InChI=1S/C2H8N2.2BrH/c3-1-2-4;;/h1-4H2;2*1H|BCQZYUOYVLJOPE-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"Ethane-1,2-diammonium iodide"	model	TRUE	"Ethane-1,2-diammonium iodide|EthylenediamineDihydriodide|InChI=1S/C2H8N2.2HI/c3-1-2-4;;/h1-4H2;2*1H|IWNWLPUNKAYUAW-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Ethylammonium bromide	model	TRUE	"Ethylammonium bromide|EtNH3Br|InChI=1S/C2H7N.BrH/c1-2-3;/h2-3H2,1H3;1H|PNZDZRMOBIIQTC-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Formamidinium bromide	model	TRUE	"Formamidinium bromide|FABr|InChI=1S/CH4N2.BrH/c2-1-3;/h1H,(H3,2,3);1H|QWANGZFTSGZRPZ-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Guanidinium bromide	model	TRUE	"Guanidinium bromide|GnNH3Br|InChI=1S/CH5N3.BrH/c2-1(3)4;/h(H5,2,3,4);1H|VQNVZLDDLJBKNS-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
i-Propylammonium iodide	model	TRUE	"i-Propylammonium iodide|iPropylammoniumIodide|InChI=1S/C3H9N.HI/c1-3(2)4;/h3H,4H2,1-2H3;1H|VMLAEGAAHIIWJX-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Imidazolium Iodide	model	TRUE	"Imidazolium Iodide|ImidazoliumIodide|InChI=1S/C3H4N2.HI/c1-2-5-3-4-1;/h1-3H,(H,4,5);1H|JBOIAZWJIACNJF-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
iso-Butylammonium bromide	model	TRUE	"iso-Butylammonium bromide|iButylammoniumBromide|InChI=1S/C4H11N.BrH/c1-4(2)3-5;/h4H,3,5H2,1-2H3;1H|RFYSBVUZWGEPBE-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
iso-Butylammonium iodide	model	TRUE	"iso-Butylammonium iodide|iButylammoniumIodide|InChI=1S/C4H11N.HI/c1-4(2)3-5;/h4H,3,5H2,1-2H3;1H|FCTHQYIDLRRROX-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
iso-Pentylammonium iodide	model	TRUE	"iso-Pentylammonium iodide|IPentylammoniumIodide|InChI=1S/C5H13N.HI/c1-5(2)3-4-6;/h5H,3-4,6H2,1-2H3;1H|UZHWWTHDRVLCJU-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Lead(II) acetate trihydrate	model	TRUE	"Lead(II) acetate trihydrate|LeadAcetate|InChI=1S/2C2H4O2.3H2O.Pb/c2*1-2(3)4;;;;/h2*1H3,(H,3,4);3*1H2;/q;;;;;+2/p-2|MCEUZMYFCCOOQO-UHFFFAOYSA-L"	Chemical_Name|Abbreviation|InChI|InChIKey	inorganic
Lead(II) bromide	model	TRUE	Lead(II) bromide|PbBr2|InChI=1S/2BrH.Pb/h2*1H;/q;;+2/p-2|ZASWJUOMEGBQCQ-UHFFFAOYSA-L	Chemical_Name|Abbreviation|InChI|InChIKey	inorganic
Methylammonium bromide	model	TRUE	"Methylammonium bromide|Methylammoniumbromide|InChI=1S/CH5N.BrH/c1-2;/h2H2,1H3;1H|ISWNAMNOYHCTSB-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Morpholinium Iodide	model	TRUE	"Morpholinium Iodide|MorpholiniumIodide|InChI=1S/C4H9NO.HI/c1-3-6-4-2-5-1;/h5H,1-4H2;1H|VAWHFUNJDMQUSB-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
n-Dodecylammonium bromide	model	TRUE	"n-Dodecylammonium bromide|nDodecylammoniumBromide|InChI=1S/C12H27N.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13;/h2-13H2,1H3;1H|VZXFEELLBDNLAL-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
n-Dodecylammonium iodide	model	TRUE	"n-Dodecylammonium iodide|nDodecylammoniumIodide|InChI=1S/C12H27N.HI/c1-2-3-4-5-6-7-8-9-10-11-12-13;/h2-13H2,1H3;1H|PXWSKGXEHZHFJA-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
n-Hexylammonium iodide	model	TRUE	"n-Hexylammonium iodide|nHexylammoniumIodide|InChI=1S/C6H15N.HI/c1-2-3-4-5-6-7;/h2-7H2,1H3;1H|VNAAUNTYIONOHR-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
n-Octylammonium Iodide	model	TRUE	"n-Octylammonium Iodide|nOctylammoniumIodide|InChI=1S/C8H19N.HI/c1-2-3-4-5-6-7-8-9;/h2-9H2,1H3;1H|HBZSVMFYMAOGRS-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
neo-Pentylammonium bromide	model	TRUE	"neo-Pentylammonium bromide|neoPentylammoniumBromide|InChI=1S/C5H13N.BrH/c1-5(2,3)4-6;/h4,6H2,1-3H3;1H|FEUPHURYMJEUIH-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
neo-Pentylammonium iodide	model	TRUE	"neo-Pentylammonium iodide|neoPentylammoniumIodide|InChI=1S/C5H13N.HI/c1-5(2,3)4-6;/h4,6H2,1-3H3;1H|CQWGDVVCKBJLNX-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Phenethylammonium bromide	model	TRUE	"Phenethylammonium bromide|C8H12BrN|InChI=1S/C8H11N.BrH/c9-7-6-8-4-2-1-3-5-8;/h1-5H,6-7,9H2;1H|IRAGENYJMTVCCV-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"Piperazine-1,4-diium bromide"	model	TRUE	"Piperazine-1,4-diium bromide|PiperazinediiumDiBromide|InChI=1S/C4H10N2.2BrH/c1-2-6-4-3-5-1;;/h5-6H,1-4H2;2*1H|UXWKNNJFYZFNDI-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"Piperazine-1,4-diium iodide"	model	TRUE	"Piperazine-1,4-diium iodide|PiperazinediiumDiodide|InChI=1S/C4H10N2.2HI/c1-2-6-4-3-5-1;;/h5-6H,1-4H2;2*1H|QZCGFUVVXNFSLE-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Piperidinium Iodide	model	TRUE	"Piperidinium Iodide|PiperidiniumIodide|InChI=1S/C5H11N.HI/c1-2-4-6-5-3-1;/h6H,1-5H2;1H|HBPSMMXRESDUSG-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"Poly(vinyl alcohol), Mw89000-98000, >99% hydrolyzed)"	model	TRUE	"Poly(vinyl alcohol), Mw89000-98000, >99% hydrolyzed)|PVA|1S/C2H4O/c1-2-3/h2-3H,1H2|IMROMDMJAWUWLK-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	polymer
Pralidoxime iodide	model	TRUE	"Pralidoxime iodide|PralidoximeIodide|InChI=1S/C7H8N2O.HI/c1-9-5-3-2-4-7(9)6-8-10;/h2-6H,1H3;1H/b7-6+;|QNBVYCDYFJUNLO-UHDJGPCESA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"Propane-1,3-diammonium iodide"	model	TRUE	"Propane-1,3-diammonium iodide|Propane13diammoniumIodide|InChI=1S/C3H10N2.HI/c4-2-1-3-5;/h1-5H2;1H/p+1|KFXBDBPOGBBVMC-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Pyrrolidinium Bromide	model	TRUE	"Pyrrolidinium Bromide|pyrrolidiniumBromide|InChI=1S/C4H9N.BrH/c1-2-4-5-3-1;/h5H,1-4H2;1H|VFDOIPKMSSDMCV-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Pyrrolidinium Iodide	model	TRUE	"Pyrrolidinium Iodide|PyrrolidiniumIodide|InChI=1S/C4H9N.HI/c1-2-4-5-3-1;/h5H,1-4H2;1H|DMFMZFFIQRMJQZ-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Quinuclidin-1-ium bromide	model	TRUE	"Quinuclidin-1-ium bromide|QuinuclidiniumBromide|InChI=1S/C7H13N.BrH/c1-4-8-5-2-7(1)3-6-8;/h7H,1-6H2;1H|DYEHDACATJUKSZ-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Quinuclidin-1-ium iodide	model	TRUE	"Quinuclidin-1-ium iodide|QuinuclidiniumIodide|InChI=1S/C7H13N.HI/c1-4-8-5-2-7(1)3-6-8;/h7H,1-6H2;1H|LYHPZBKXSHVBDW-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
tert-Octylammonium iodide	model	TRUE	"tert-Octylammonium iodide|TertOctylammoniumIodide|InChI=1S/C8H19N.HI/c1-7(2,3)6-8(4,5)9;/h6,9H2,1-5H3;1H|UXYJHTKQEFCXBJ-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Pyridinium Iodide	model	TRUE	Pyridinium Iodide|PyridiniumIodide|InChI=1S/C5H5N.HI/c1-2-4-6-5-3-1;/h1-5H;1H|BJDYCCHRZIFCGN-UHFFFAOYSA-N	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Cyclohexylmethylammonium iodide	model	TRUE	"Cyclohexylmethylammonium iodide|CyclohexylmethylammoniumIodide|InChI=1S/C7H15N.HI/c1-8-7-5-3-2-4-6-7;/h7-8H,2-6H2,1H3;1H|ZEVRFFCPALTVDN-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Cyclohexylammonium iodide	model	TRUE	"Cyclohexylammonium iodide|CyclohexylammoniumIodide|InChI=1S/C6H13N.HI/c7-6-4-2-1-3-5-6;/h6H,1-5,7H2;1H|WGYRINYTHSORGH-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"Butane-1,4-diammonium Iodide"	model	TRUE	"Butane-1,4-diammonium Iodide|Butane14diammoniumIodide|InChI=1S/C4H12N2.2HI/c5-3-1-2-4-6;;/h1-6H2;2*1H|XZUCBFLUEBDNSJ-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"1,4-Benzene diammonium iodide"	model	TRUE	"1,4-Benzene diammonium iodide|Benzenediaminedihydroiodide|InChI=1S/C6H8N2.2HI/c7-5-1-2-6(8)4-3-5;;/h1-4H,7-8H2;2*1H|RYYSZNVPBLKLRS-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
5-Azaspiro[4.4]nonan-5-ium iodide	model	TRUE	5-Azaspiro[4.4]nonan-5-ium iodide|5Azaspironoiodide|InChI=1S/C8H16N.HI/c1-2-6-9(5-1)7-3-4-8-9;/h1-8H2;1H/q+1;/p-1|DWOWCUCDJIERQX-UHFFFAOYSA-M	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Diethylammonium iodide	model	TRUE	"Diethylammonium iodide|Diethylammoniumiodide|InChI=1S/C4H11N.HI/c1-3-5-4-2;/h5H,3-4H2,1-2H3;1H|YYMLRIWBISZOMT-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
2-Pyrrolidin-1-ium-1-ylethylammonium iodide	model	TRUE	2-Pyrrolidin-1-ium-1-ylethylammonium iodide|2Pyrrolidin1ium1ylethylammoniumiodide|InChI=1S/C6H14N2.2HI/c7-3-6-8-4-1-2-5-8;;/h1-7H2;2*1H|UVLZLKCGKYLKOR-UHFFFAOYSA-N	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"N,N-Dimethylethane-1,2-diammonium iodide"	model	TRUE	"N,N-Dimethylethane-1,2-diammonium iodide|NNDimethylethane12diammoniumiodide|InChI=1S/C4H12N2.2HI/c1-6(2)4-3-5;;/h3-5H2,1-2H3;2*1H|BAMDIFIROXTEEM-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"N,N-dimethylpropane-1,3-diammonium iodide"	model	TRUE	"N,N-dimethylpropane-1,3-diammonium iodide|NNdimethylpropane13diammoniumiodide|InChI=1S/C5H14N2.2HI/c1-7(2)5-3-4-6;;/h3-6H2,1-2H3;2*1H|JERSPYRKVMAEJY-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"N,N-Diethylpropane-1,3-diammonium iodide"	model	TRUE	"N,N-Diethylpropane-1,3-diammonium iodide|NNDiethylpropane13diammoniumiodide|InChI=1S/C7H18N2.2HI/c1-3-9(4-2)7-5-6-8;;/h3-8H2,1-2H3;2*1H|NXRUEVJQMBGVAT-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Di-isopropylammonium iodide	model	TRUE	"Di-isopropylammonium iodide|Diisopropylammoniumiodide|InChI=1S/C6H15N.HI/c1-5(2)7-6(3)4;/h5-7H,1-4H3;1H|PBGZCCFVBVEIAS-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-methoxy-phenethylammonium-iodide	model	TRUE	"4-methoxy-phenethylammonium-iodide|4methoxyphenethylammoniumiodide|InChI=1S/C9H13NO.HI/c1-11-9-4-2-8(3-5-9)6-7-10;/h2-5H,6-7,10H2,1H3;1H|QNNYEDWTOZODAS-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Iso-Propylammonium Bromide 	model	TRUE	"Iso-Propylammonium Bromide|IPABr|InChI=1S/C3H9N.BrH/c1-3(2)4;/h3H,4H2,1-2H3;1H|WGWKNMLSVLOQJB-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Trifluoromethyl-Phenylammonium Bromide	model	TRUE	"4-Trifluoromethyl-Phenylammonium Bromide|4TrifluoromethylPhenylammoniumBromide|InChI=1S/C7H6F3N.BrH/c8-7(9,10)5-1-3-6(11)4-2-5;/h1-4H,11H2;1H|YDUCBKSFOWFMMQ-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Morpholinium Bromide	model	TRUE	"Morpholinium Bromide|MorpholiniumBromide|InChI=1S/C4H9NO.BrH/c1-3-6-4-2-5-1;/h5H,1-4H2;1H|BVJOXYJFOYNQRB-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Cyclohexylmethylammonium Bromide	model	TRUE	"Cyclohexylmethylammonium Bromide|CyclohexylmethylammoniumBromide|InChI=1S/C7H15N.BrH/c8-6-7-4-2-1-3-5-7;/h7H,1-6,8H2;1H|LBEXWMLYXHXELS-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"N,N-dimethylpropane-1,3-diammonium Bromide"	model	TRUE	"N,N-dimethylpropane-1,3-diammonium Bromide|NNdimethylpropaneDiammoniumBromide|InChI=1S/C5H14N2.2BrH/c1-7(2)5-3-4-6;;/h3-6H2,1-2H3;2*1H|QIDAXQPTQFYPDP-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
2-Pyrrolidin-1-ium-1-ylethylammonium bromide	model	TRUE	2-Pyrrolidin-1-ium-1-ylethylammonium bromide|2Pyrrolidin1ium1ylethylammoniumbromide|InChI=1S/C6H14N2.2BrH/c7-3-6-8-4-1-2-5-8;;/h1-7H2;2*1H|FPPIGJMXVSXJPF-UHFFFAOYSA-N	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"1,4-Benzenediammonium bromide"	model	TRUE	"1,4-Benzenediammonium bromide|BenzenediammoniumBromide|InChI=1S/C6H8N2.2BrH/c7-5-1-2-6(8)4-3-5;;/h1-4H,7-8H2;2*1H|KTHOOQOVVOZMIG-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"Butane-1,4-diammonium bromide"	model	TRUE	"Butane-1,4-diammonium bromide|ButanediammoniumBromide|InChI=1S/C4H12N2.2BrH/c5-3-1-2-4-6;;/h1-6H2;2*1H|UTDOJTBJZVYMNB-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Di-iso-Propylammonium bromide	model	TRUE	"Di-iso-Propylammonium bromide|DiIsoPropylammoniumBromide|InChI=1S/C6H15N.BrH/c1-5(2)7-6(3)4;/h5-7H,1-4H3;1H|KIJXMUOJNZXYHU-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Diethylammonium bromide	model	TRUE	"Diethylammonium bromide|DiethylammoniumBromide|InChI=1S/C4H11N.BrH/c1-3-5-4-2;/h5H,3-4H2,1-2H3;1H|AATGHKSFEUVOPF-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"N,N-Dimethylethane-1,2-diammonium bromide"	model	TRUE	"N,N-Dimethylethane-1,2-diammonium bromide|NNDimethylethaneDiammoniumBromide|InChI=1S/C4H12N2.2BrH/c1-6(2)4-3-5;;/h3-5H2,1-2H3;2*1H|MDXXRKKHSWLPQO-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"Hexane-1,6-diammonium bromide"	model	TRUE	"Hexane-1,6-diammonium bromide|HexaneDiammoniumBromide|InChI=1S/C6H16N2.2BrH/c7-5-3-1-2-4-6-8;;/h1-8H2;2*1H|XSYPBULLQGGYPJ-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Trifluoromethyl-Benzylammonium bromide	model	TRUE	"4-Trifluoromethyl-Benzylammonium bromide|TrifluoromethylBenzylammoniumBromide|InChI=1S/C8H8F3N.BrH/c9-8(10,11)7-3-1-6(5-12)2-4-7;/h1-4H,5,12H2;1H|NKMWCZULQZETPE-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Fluoro- Benzylammonium bromide	model	TRUE	"4-Fluoro- Benzylammonium bromide|4FluoroBenzylammoniumBromide|InChI=1S/C7H8FN.BrH/c8-7-3-1-6(5-9)2-4-7;/h1-4H,5,9H2;1H|PHIMWJYSMVBDPA-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
